Frequency (MHz),Power (dB),Timestamp
87.5,13.57,2026-06-11 18:20:35
87.6,13.63,2026-06-11 18:20:35
87.7,13.6,2026-06-11 18:20:35
87.8,13.63,2026-06-11 18:20:35
87.9,13.63,2026-06-11 18:20:35
88.0,13.59,2026-06-11 18:20:35
88.1,13.61,2026-06-11 18:20:35
88.2,13.6,2026-06-11 18:20:35
88.3,13.61,2026-06-11 18:20:35
88.4,13.64,2026-06-11 18:20:35
88.5,-24.26,2026-06-11 18:20:35
88.6,-100.0,2026-06-11 18:20:35
88.7,-100.0,2026-06-11 18:20:35
88.8,-100.0,2026-06-11 18:20:35
88.9,-100.0,2026-06-11 18:20:35
89.0,-100.0,2026-06-11 18:20:35
89.1,-100.0,2026-06-11 18:20:35
89.2,-100.0,2026-06-11 18:20:35
89.3,-100.0,2026-06-11 18:20:35
89.4,13.59,2026-06-11 18:20:35
89.5,13.6,2026-06-11 18:20:35
89.6,13.62,2026-06-11 18:20:35
89.7,13.6,2026-06-11 18:20:35
89.8,13.6,2026-06-11 18:20:35
89.9,13.6,2026-06-11 18:20:35
90.0,13.59,2026-06-11 18:20:35
90.1,13.57,2026-06-11 18:20:35
90.2,13.58,2026-06-11 18:20:35
90.3,13.57,2026-06-11 18:20:35
90.4,13.57,2026-06-11 18:20:35
90.5,13.55,2026-06-11 18:20:35
90.6,13.6,2026-06-11 18:20:35
90.7,13.59,2026-06-11 18:20:35
90.8,13.58,2026-06-11 18:20:35
90.9,13.56,2026-06-11 18:20:35
91.0,13.58,2026-06-11 18:20:35
91.1,13.56,2026-06-11 18:20:35
91.2,13.57,2026-06-11 18:20:35
91.3,13.53,2026-06-11 18:20:35
91.4,13.61,2026-06-11 18:20:35
91.5,13.62,2026-06-11 18:20:35
91.6,13.6,2026-06-11 18:20:35
91.7,13.61,2026-06-11 18:20:35
91.8,13.62,2026-06-11 18:20:35
91.9,13.6,2026-06-11 18:20:35
92.0,13.57,2026-06-11 18:20:35
92.1,13.57,2026-06-11 18:20:35
92.2,13.55,2026-06-11 18:20:35
92.3,13.58,2026-06-11 18:20:35
92.4,13.59,2026-06-11 18:20:35
92.5,13.59,2026-06-11 18:20:35
92.6,13.61,2026-06-11 18:20:35
92.7,13.57,2026-06-11 18:20:35
92.8,13.59,2026-06-11 18:20:35
92.9,13.58,2026-06-11 18:20:35
93.0,13.64,2026-06-11 18:20:35
93.1,13.57,2026-06-11 18:20:35
93.2,13.61,2026-06-11 18:20:35
93.3,13.62,2026-06-11 18:20:35
93.4,13.64,2026-06-11 18:20:35
93.5,13.61,2026-06-11 18:20:35
93.6,13.6,2026-06-11 18:20:35
93.7,13.64,2026-06-11 18:20:35
93.8,13.58,2026-06-11 18:20:35
93.9,13.6,2026-06-11 18:20:35
94.0,13.59,2026-06-11 18:20:35
94.1,13.59,2026-06-11 18:20:35
94.2,13.59,2026-06-11 18:20:35
94.3,13.59,2026-06-11 18:20:35
94.4,13.6,2026-06-11 18:20:35
94.5,13.61,2026-06-11 18:20:35
94.6,13.62,2026-06-11 18:20:35
94.7,13.6,2026-06-11 18:20:35
94.8,13.6,2026-06-11 18:20:35
94.9,13.61,2026-06-11 18:20:35
95.0,13.61,2026-06-11 18:20:35
95.1,13.57,2026-06-11 18:20:35
95.2,13.6,2026-06-11 18:20:35
95.3,13.61,2026-06-11 18:20:35
95.4,13.57,2026-06-11 18:20:35
95.5,13.56,2026-06-11 18:20:35
95.6,13.57,2026-06-11 18:20:35
95.7,13.59,2026-06-11 18:20:35
95.8,13.55,2026-06-11 18:20:35
95.9,13.59,2026-06-11 18:20:35
96.0,13.59,2026-06-11 18:20:35
96.1,13.57,2026-06-11 18:20:35
96.2,13.58,2026-06-11 18:20:35
96.3,13.59,2026-06-11 18:20:35
96.4,13.58,2026-06-11 18:20:35
96.5,13.59,2026-06-11 18:20:35
96.6,13.58,2026-06-11 18:20:35
96.7,13.59,2026-06-11 18:20:35
96.8,13.58,2026-06-11 18:20:35
96.9,13.58,2026-06-11 18:20:35
97.0,13.55,2026-06-11 18:20:35
97.1,13.56,2026-06-11 18:20:35
97.2,13.58,2026-06-11 18:20:35
97.3,13.59,2026-06-11 18:20:35
97.4,13.59,2026-06-11 18:20:35
97.5,13.59,2026-06-11 18:20:35
97.6,13.59,2026-06-11 18:20:35
97.7,13.61,2026-06-11 18:20:35
97.8,13.6,2026-06-11 18:20:35
97.9,13.6,2026-06-11 18:20:35
98.0,13.59,2026-06-11 18:20:35
98.1,13.64,2026-06-11 18:20:35
98.2,13.65,2026-06-11 18:20:35
98.3,13.61,2026-06-11 18:20:35
98.4,13.61,2026-06-11 18:20:35
98.5,13.59,2026-06-11 18:20:35
98.6,13.61,2026-06-11 18:20:35
98.7,13.6,2026-06-11 18:20:35
98.8,13.58,2026-06-11 18:20:35
98.9,13.59,2026-06-11 18:20:35
99.0,13.6,2026-06-11 18:20:35
99.1,13.57,2026-06-11 18:20:35
99.2,13.6,2026-06-11 18:20:35
99.3,13.59,2026-06-11 18:20:35
99.4,13.6,2026-06-11 18:20:35
99.5,13.6,2026-06-11 18:20:35
99.6,13.56,2026-06-11 18:20:35
99.7,13.55,2026-06-11 18:20:35
99.8,13.57,2026-06-11 18:20:35
99.9,13.57,2026-06-11 18:20:35
100.0,13.58,2026-06-11 18:20:35
100.1,13.6,2026-06-11 18:20:35
100.2,13.61,2026-06-11 18:20:35
100.3,13.57,2026-06-11 18:20:35
100.4,13.56,2026-06-11 18:20:35
100.5,13.57,2026-06-11 18:20:35
100.6,13.55,2026-06-11 18:20:35
100.7,13.54,2026-06-11 18:20:35
100.8,13.53,2026-06-11 18:20:35
100.9,13.53,2026-06-11 18:20:35
101.0,13.53,2026-06-11 18:20:35
101.1,13.54,2026-06-11 18:20:35
101.2,13.53,2026-06-11 18:20:35
101.3,13.55,2026-06-11 18:20:35
101.4,13.53,2026-06-11 18:20:35
101.5,13.54,2026-06-11 18:20:35
101.6,13.54,2026-06-11 18:20:35
101.7,13.55,2026-06-11 18:20:35
101.8,13.59,2026-06-11 18:20:35
101.9,13.56,2026-06-11 18:20:35
102.0,13.58,2026-06-11 18:20:35
102.1,13.58,2026-06-11 18:20:35
102.2,13.57,2026-06-11 18:20:35
102.3,13.57,2026-06-11 18:20:35
102.4,13.58,2026-06-11 18:20:35
102.5,13.58,2026-06-11 18:20:35
102.6,13.56,2026-06-11 18:20:35
102.7,13.59,2026-06-11 18:20:35
102.8,13.56,2026-06-11 18:20:35
102.9,13.58,2026-06-11 18:20:35
103.0,13.58,2026-06-11 18:20:35
103.1,13.57,2026-06-11 18:20:35
103.2,13.58,2026-06-11 18:20:35
103.3,13.56,2026-06-11 18:20:35
103.4,13.57,2026-06-11 18:20:35
103.5,13.58,2026-06-11 18:20:35
103.6,13.6,2026-06-11 18:20:35
103.7,13.6,2026-06-11 18:20:35
103.8,13.6,2026-06-11 18:20:35
103.9,13.58,2026-06-11 18:20:35
104.0,13.6,2026-06-11 18:20:35
104.1,13.58,2026-06-11 18:20:35
104.2,13.6,2026-06-11 18:20:35
104.3,13.6,2026-06-11 18:20:35
104.4,13.56,2026-06-11 18:20:35
104.5,13.58,2026-06-11 18:20:35
104.6,13.58,2026-06-11 18:20:35
104.7,13.6,2026-06-11 18:20:35
104.8,13.61,2026-06-11 18:20:35
104.9,13.58,2026-06-11 18:20:35
105.0,13.59,2026-06-11 18:20:35
105.1,13.58,2026-06-11 18:20:35
105.2,13.6,2026-06-11 18:20:35
105.3,13.57,2026-06-11 18:20:35
105.4,13.59,2026-06-11 18:20:35
105.5,13.54,2026-06-11 18:20:35
105.6,13.59,2026-06-11 18:20:35
105.7,13.56,2026-06-11 18:20:35
105.8,13.56,2026-06-11 18:20:35
105.9,13.55,2026-06-11 18:20:35
106.0,13.55,2026-06-11 18:20:35
106.1,13.59,2026-06-11 18:20:35
106.2,13.56,2026-06-11 18:20:35
106.3,13.57,2026-06-11 18:20:35
106.4,13.59,2026-06-11 18:20:35
106.5,13.58,2026-06-11 18:20:35
106.6,13.58,2026-06-11 18:20:35
106.7,13.57,2026-06-11 18:20:35
106.8,13.57,2026-06-11 18:20:35
106.9,13.58,2026-06-11 18:20:35
107.0,13.62,2026-06-11 18:20:35
107.1,13.62,2026-06-11 18:20:35
107.2,13.58,2026-06-11 18:20:35
107.3,13.6,2026-06-11 18:20:35
107.4,13.59,2026-06-11 18:20:35
107.5,13.59,2026-06-11 18:20:35
107.6,13.58,2026-06-11 18:20:35
107.7,13.59,2026-06-11 18:20:35
107.8,13.64,2026-06-11 18:20:35
107.9,13.63,2026-06-11 18:20:35
