Frequency (MHz), Power (dB), Timestamp
88.0,16.47,2026-06-27 12:37:14
88.2,16.69,2026-06-27 12:37:14
88.4,16.66,2026-06-27 12:37:14
88.6,16.75,2026-06-27 12:37:14
88.8,16.63,2026-06-27 12:37:14
89.0,16.43,2026-06-27 12:37:15
89.2,16.49,2026-06-27 12:37:16
89.4,16.33,2026-06-27 12:37:16
89.6,15.53,2026-06-27 12:37:16
89.8,15.24,2026-06-27 12:37:16
90.0,15.46,2026-06-27 12:37:16
90.2,15.54,2026-06-27 12:37:17
90.4,15.32,2026-06-27 12:37:17
90.6,15.23,2026-06-27 12:37:17
90.8,15.34,2026-06-27 12:37:17
91.0,15.28,2026-06-27 12:37:17
91.2,15.35,2026-06-27 12:37:18
91.4,15.68,2026-06-27 12:37:18
91.6,16.11,2026-06-27 12:37:18
91.8,16.69,2026-06-27 12:37:19
92.0,17.13,2026-06-27 12:37:19
92.2,17.69,2026-06-27 12:37:19
92.4,18.90,2026-06-27 12:37:19
92.6,19.19,2026-06-27 12:37:19
92.8,19.06,2026-06-27 12:37:19
93.0,18.87,2026-06-27 12:37:19
93.2,18.92,2026-06-27 12:37:20
93.4,18.87,2026-06-27 12:37:20
93.6,18.72,2026-06-27 12:37:20
93.8,18.67,2026-06-27 12:37:20
94.0,18.32,2026-06-27 12:37:21
94.2,18.33,2026-06-27 12:37:21
94.4,17.18,2026-06-27 12:37:21
94.6,15.65,2026-06-27 12:37:21
94.8,15.57,2026-06-27 12:37:22
95.0,15.47,2026-06-27 12:37:22
95.2,15.49,2026-06-27 12:37:22
95.4,15.51,2026-06-27 12:37:22
95.6,15.29,2026-06-27 12:37:23
95.8,15.58,2026-06-27 12:37:23
96.0,15.40,2026-06-27 12:37:23
96.2,15.35,2026-06-27 12:37:23
96.4,16.11,2026-06-27 12:37:23
96.6,15.90,2026-06-27 12:37:24
96.8,15.30,2026-06-27 12:37:24
97.0,14.94,2026-06-27 12:37:24
97.2,15.25,2026-06-27 12:37:25
97.4,16.31,2026-06-27 12:37:26
97.6,19.11,2026-06-27 12:37:26
97.8,21.05,2026-06-27 12:37:26
98.0,21.23,2026-06-27 12:37:27
98.2,20.98,2026-06-27 12:37:27
98.4,20.99,2026-06-27 12:37:27
98.6,21.06,2026-06-27 12:37:27
98.8,21.00,2026-06-27 12:37:28
99.0,21.34,2026-06-27 12:37:28
99.2,22.41,2026-06-27 12:37:28
99.4,23.34,2026-06-27 12:37:28
99.6,23.21,2026-06-27 12:37:28
99.8,22.19,2026-06-27 12:37:28
100.0,21.21,2026-06-27 12:37:28
100.2,20.94,2026-06-27 12:37:28
100.4,20.78,2026-06-27 12:37:29
100.6,20.72,2026-06-27 12:37:29
100.8,20.74,2026-06-27 12:37:29
101.0,20.89,2026-06-27 12:37:29
101.2,20.84,2026-06-27 12:37:29
101.4,19.14,2026-06-27 12:37:29
101.6,16.87,2026-06-27 12:37:30
101.8,15.92,2026-06-27 12:37:31
102.0,15.79,2026-06-27 12:37:31
102.2,16.73,2026-06-27 12:37:31
102.4,17.07,2026-06-27 12:37:31
102.6,17.04,2026-06-27 12:37:32
102.8,16.96,2026-06-27 12:37:32
103.0,16.93,2026-06-27 12:37:32
103.2,16.94,2026-06-27 12:37:33
103.4,16.95,2026-06-27 12:37:33
103.6,17.08,2026-06-27 12:37:33
103.8,17.21,2026-06-27 12:37:33
104.0,17.79,2026-06-27 12:37:34
104.2,17.94,2026-06-27 12:37:34
104.4,17.42,2026-06-27 12:37:34
104.6,17.48,2026-06-27 12:37:35
104.8,19.24,2026-06-27 12:37:35
105.0,20.90,2026-06-27 12:37:35
105.2,21.12,2026-06-27 12:37:35
105.4,21.81,2026-06-27 12:37:35
105.6,23.88,2026-06-27 12:37:35
105.8,25.55,2026-06-27 12:37:35
106.0,25.72,2026-06-27 12:37:36
106.2,25.58,2026-06-27 12:37:36
106.4,25.35,2026-06-27 12:37:36
106.6,25.34,2026-06-27 12:37:36
106.8,25.34,2026-06-27 12:37:36
107.0,25.14,2026-06-27 12:37:36
107.2,24.85,2026-06-27 12:37:36
107.4,24.83,2026-06-27 12:37:37
107.6,24.42,2026-06-27 12:37:37
107.8,22.35,2026-06-27 12:37:37
108.0,18.51,2026-06-27 12:37:37
